Path,Size_Bytes,Type,Description,Recommended_Action
scratch/generate_v2_artifacts.py.metadata.json,135,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_a_csv.py,18489,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_a_csv.py.metadata.json,169,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_b_deliverables.py,17459,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_b_deliverables.py.metadata.json,190,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_b_residuel_deliverables.py,14657,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_b_residuel_deliverables.py.metadata.json,118,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_b_residuel_report.py,9948,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_b_residuel_report.py.metadata.json,112,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_c_final_deliverables.py,12077,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_vague_c_final_deliverables.py.metadata.json,205,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_validation_report.py,14996,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/generate_validation_report.py.metadata.json,127,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_audio_audit.py,3021,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_audio_audit.py.metadata.json,112,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_before_manifest.py,1139,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_before_manifest.py.metadata.json,146,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_csharp_sources.py,58009,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_csharp_sources.py.metadata.json,133,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_csproj.py,1074,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_csproj.py.metadata.json,134,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_downloader.py,7676,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_downloader.py.metadata.json,152,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_embeddings_mapping.py,4630,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_embeddings_mapping.py.metadata.json,142,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_essentials_manifest.py,2897,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_essentials_manifest.py.metadata.json,132,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_e_r4_test.py,13418,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_e_r4_test.py.metadata.json,136,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_flow_test_v3.py,5511,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_flow_test_v3.py.metadata.json,154,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_manifest_ext03.py,1625,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_manifest_ext03.py.metadata.json,140,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_model_hashes.py,1684,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_model_hashes.py.metadata.json,189,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_removed_models_audit.py,3399,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_removed_models_audit.py.metadata.json,129,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_removed_models_audit_v2.py,3964,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_removed_models_audit_v2.py.metadata.json,180,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_selftest.py,22965,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_selftest.py.metadata.json,128,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_v2_manifest_and_diff.py,6434,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_v2_manifest_and_diff.py.metadata.json,116,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_v3_diff.py,5199,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_v3_diff.py.metadata.json,118,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_v3_manifest.py,1496,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_v3_manifest.py.metadata.json,110,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_voicebake_scripts.py,19135,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/gen_voicebake_scripts.py.metadata.json,126,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/get_hf_metadata.py,935,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/get_hf_metadata.py.metadata.json,115,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/GMAIL_CREDENTIALS_SANITIZATION_INVENTORY.csv,1910,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/GMAIL_CREDENTIALS_SANITIZATION_INVENTORY.csv.metadata.json,133,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/hash_sd_models.py,1309,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/hash_sd_models.py.metadata.json,148,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/image_models_hashes.json,3209,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/image_model_catalog.json.bak_20260908_120550,14648,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_16_ids.py,966,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_16_ids.py.metadata.json,103,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_ai_knowledge.py,544,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_ai_knowledge.py.metadata.json,99,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_c85_structure.py,1311,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_c85_structure.py.metadata.json,209,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_catalog_models.py,569,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_catalog_models.py.metadata.json,129,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_diff_litert.py,299,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_diff_litert.py.metadata.json,123,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_fiches_v12.py,1084,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_fiches_v12.py.metadata.json,124,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_gates_detail.py,570,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_gates_detail.py.metadata.json,121,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_hwnd.py,998,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_hwnd.py.metadata.json,102,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_jarvisol.py,988,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_jarvisol.py.metadata.json,108,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_litert_py.py,634,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_litert_py.py.metadata.json,114,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_lot.py,1395,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_lot.py.metadata.json,146,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_matrix_removed.py,693,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_matrix_removed.py.metadata.json,114,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_specific_files.py,1602,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inspect_specific_files.py.metadata.json,198,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inventory_agentfolder_root.py,814,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inventory_agentfolder_root.py.metadata.json,118,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inventory_scratch.py,1209,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/inventory_scratch.py.metadata.json,109,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL-FINAL-CONSOLIDATED-REPORT.md,6591,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL-FINAL-CONSOLIDATED-REPORT.md.metadata.json,388,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_ASR002_ARTIFACT_RECOVERY_GATE.zip,11180,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_CORR_LOT_007_BRAIN_ANCHOR_FINAL_004.zip,137804,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_CORR_LOT_007_RAGPATH_FINAL_HARDENING_003.zip,137105,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_CORR_LOT_007_VALIDATION_SUPPLEMENT_002.zip,139999,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_G3_CLOSURE_7_CURRENT_C7_001.zip,5524,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_G3_CLOSURE_7_SONNET46_001.zip,9230,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_G3_FINAL_VALIDATION_EVIDENCE.zip,15202,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_G3_GENUINE_RUNTIME_REPLAY_002.zip,266732,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_G3_RUNTIME_EVIDENCE_REPLAY_001.zip,261657,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_PRE_EXT02_C82_SECURITY_REPAIR_EVIDENCE.zip,687264,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_PRE_EXT02_SECURITY_PROOF_CLOSURE_EVIDENCE.zip,687560,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_PRE_EXT02_SECURITY_SANITIZATION_EVIDENCE.zip,20927,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/jarvisol_tray.py,11123,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/jarvisol_tray.py.metadata.json,130,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_DISTRIBUTION_PREIMPLEMENTATION_AUDIT.zip,26428,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_C7_REBASE_HARDENING_EVIDENCE.zip,632666,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_C8_1_FINAL_CLEANROOM_EVIDENCE.zip,229518,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_C8_1_FINAL_HONESTY_GATE_EVIDENCE.zip,1943709,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_C8_1_FREEZE_GATE_EVIDENCE.zip,1268055,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_C8_1_MICRO_HARDENING_EVIDENCE.zip,192769,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_C8_1_REQUIREMENT_COMPLETION_EVIDENCE.zip,1397396,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT01_HARDWARE_ADVISOR_EVIDENCE.zip,28310,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT02_IMAGE_INSTALLER_PREIMPLEMENTATION_GATE_EVIDENCE.zip,26598,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT02_IMAGE_INSTALLER_PREIMPLEMENTATION_GATE_V2_EVIDENCE.zip,77504,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/JARVISOL_V1_EXT02_IMAGE_INSTALLER_PREIMPLEMENTATION_GATE_V2_SANITIZED_EVIDENCE.zip,87453,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/last_prompt.json,2190,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/launch_servers.vbs,2036,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/launch_servers.vbs.metadata.json,185,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/LICENSE_deno.txt,1094,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_all_v1_data.py,477,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_all_v1_data.py.metadata.json,108,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_c85_models.py,1268,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_c85_models.py.metadata.json,187,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_fiches.py,665,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_fiches.py.metadata.json,132,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_gpustack_models.py,655,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_gpustack_models.py.metadata.json,111,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_root_files.py,296,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_root_files.py.metadata.json,170,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_windows.py,592,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/list_windows.py.metadata.json,95,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/live_rag_results.txt,2576,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/lot002_prompt.txt,20048,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/lot_details_all.txt,89178,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_evidence_zip.py,1158,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_image_inventory.py,2927,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_image_inventory.py.metadata.json,150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_image_inventory_fast.py,2947,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_image_inventory_fast.py.metadata.json,152,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_live_test.py,3272,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_live_test.py.metadata.json,116,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_llm07.py,691,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/make_llm07.py.metadata.json,122,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/match_hf_tree.py,3445,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/match_hf_tree.py.metadata.json,151,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/mcp_web_audit_test.dart,3641,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/mcp_web_audit_test.dart.metadata.json,114,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/measure_after.py,4397,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/measure_after.py.metadata.json,140,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/measure_before.py,1731,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/measure_before.py.metadata.json,132,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/measure_clamp.py,1377,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/memory_server_manager.dart,13576,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/memory_server_manager.dart.metadata.json,153,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/mock_gmail_calls.jsonl,5556,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/mock_gmail_mcp.py,5832,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/mock_gmail_mcp.py.metadata.json,168,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/monitor_and_test.py,1696,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/monitor_and_test.py.metadata.json,145,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_and_qualify_vague_c.py,9465,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_and_qualify_vague_c.py.metadata.json,194,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_and_scan_supplement.py,5647,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_and_scan_supplement.py.metadata.json,130,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_and_scan_vbs_fix.py,5707,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_and_scan_vbs_fix.py.metadata.json,133,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_cleanroom_zip.py,1208,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_cleanroom_zip.py.metadata.json,108,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_closure_evidence.py,11283,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_closure_evidence.py.metadata.json,153,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_ext02_evidence.py,1644,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_ext02_evidence.py.metadata.json,150,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_ext02_p1_evidence.py,2786,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_ext02_p1_evidence.py.metadata.json,148,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_final_evidence.py,6425,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_final_evidence.py.metadata.json,158,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_freeze_gate_evidence.py,20641,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_freeze_gate_evidence.py.metadata.json,227,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/PACKAGE_HYGIENE_CLASSIFICATION.csv,2128550,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/PACKAGE_HYGIENE_SUMMARY.md,1731,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_iofinal_evidence.py,3897,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_iofinal_evidence.py.metadata.json,136,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_micro_hardening_evidence.py,18705,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_micro_hardening_evidence.py.metadata.json,200,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_requirement_completion_evidence.py,1353,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_requirement_completion_evidence.py.metadata.json,144,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_supplement_v3.py,2116,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_supplement_v3.py.metadata.json,135,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_v1_evidence.py,2206,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_v1_evidence.py.metadata.json,161,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_v2_evidence.py,1583,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_v2_evidence.py.metadata.json,122,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
scratch/package_v3_evidence.py,2449,Diagnostic / Qualification Harness Script,Automated verification test script or test fixture,Keep for regression replay audit or archive with test logs
